date,title,link
2022-11-06,"SunPayus: ""I'm adapting well on T-side, I can focus more on my individual play""",hltv.org/news/35004/sunpayus-im-adapting-well-on-t-side-i-can-focus-more-on-my-individual-play
2022-11-06,Round 3 matchups set for IEM Rio Legends Stage,hltv.org/news/35007/round-3-matchups-set-for-iem-rio-legends-stage
2022-11-06,Heroic demolish fnatic; Outsiders put NIP on brink of elimination,hltv.org/news/35006/heroic-demolish-fnatic-outsiders-put-nip-on-brink-of-elimination
2022-11-06,Sadokist removed from Major broadcast,hltv.org/news/35005/sadokist-removed-from-major-broadcast
2022-11-06,FURIA recover from nine-round deficit to beat Spirit; ENCE ease past Bad News Eagles,hltv.org/news/35003/furia-recover-from-nine-round-deficit-to-beat-spirit-ence-ease-past-bad-news-eagles
2022-11-06,"NAF: ""I hope there's always a slot in the calendar year for an event in Brazil""",hltv.org/news/35002/naf-i-hope-theres-always-a-slot-in-the-calendar-year-for-an-event-in-brazil
2022-11-06,Vitality send FaZe to elimination pool; Cloud9 come back versus NAVI,hltv.org/news/35001/vitality-send-faze-to-elimination-pool-cloud9-come-back-versus-navi
2022-11-05,Liquid trounce Sprout to claim first win; BIG overpower MOUZ to go 2-0,hltv.org/news/35000/liquid-trounce-sprout-to-claim-first-win-big-overpower-mouz-to-go-2-0
2022-11-05,IEM Rio Major surpasses 1 million concurrent viewers in group stage,hltv.org/news/34999/iem-rio-major-surpasses-1-million-concurrent-viewers-in-group-stage
2022-11-05,"Xizt: ""I'm very confident that we can go really far""",hltv.org/news/34996/xizt-im-very-confident-that-we-can-go-really-far
2022-11-05,C9-NAVI to meet for first time in 2022 in Rio Legends Stage round 2,hltv.org/news/34998/c9-navi-to-meet-for-first-time-in-2022-in-rio-legends-stage-round-2
2022-11-05,FURIA crush ENCE; fnatic edge out NIP to kick off Legends Stage campaign,hltv.org/news/34997/furia-crush-ence-fnatic-edge-out-nip-to-kick-off-legends-stage-campaign
2022-11-05,NAVI outlast Vitality; Heroic defeat Outsiders in IEM Rio Legends Stage,hltv.org/news/34995/navi-outlast-vitality-heroic-defeat-outsiders-in-iem-rio-legends-stage
2022-11-05,"w0nderful on Major debut: ""I don't feel nervous""",hltv.org/news/34993/w0nderful-on-major-debut-i-dont-feel-nervous
2022-11-05,Cloud9 pull off comeback against FaZe; BIG take down Sprout,hltv.org/news/34994/cloud9-pull-off-comeback-against-faze-big-take-down-sprout
2022-11-05,MOUZ dismantle Liquid; Spirit best BNE in opening Legends Stage matches,hltv.org/news/34992/mouz-dismantle-liquid-spirit-best-bne-in-opening-legends-stage-matches
2022-11-04,ZywOo vs. s1mple: A clash of titans to start the Legends Stage,hltv.org/news/34990/zywoo-vs-s1mple-a-clash-of-titans-to-start-the-legends-stage
2022-11-04,"FASHR: ""We played five games already and are warmed up""",hltv.org/news/34991/fashr-we-played-five-games-already-and-are-warmed-up
2022-11-04,"OTs, sh1ro's brilliance, and BNE's CT-sides: Key stats from Rio's Challengers Stage",hltv.org/news/34975/ots-sh1ros-brilliance-and-bnes-ct-sides-key-stats-from-rios-challengers-stage
2022-11-04,Video: FaZe at IEM Rio - The best Major storyline?,hltv.org/news/34988/video-faze-at-iem-rio-the-best-major-storyline
2022-11-04,Americas will have one less Major spot in Paris after Rio results,hltv.org/news/34987/americas-will-have-one-less-major-spot-in-paris-after-rio-results
2022-11-04,The story of the IEM Rio Challengers Stage in photos,hltv.org/news/34976/the-story-of-the-iem-rio-challengers-stage-in-photos
2022-11-04,IEM Rio Major Legends Stage Fantasy game live,hltv.org/news/34986/iem-rio-major-legends-stage-fantasy-game-live
2022-11-04,"nafany: ""I can see that if Ax1Le has some struggles, sh1ro can fix it""",hltv.org/news/34984/nafany-i-can-see-that-if-ax1le-has-some-struggles-sh1ro-can-fix-it
2022-11-04,Two top-5 matchups in first round of IEM Rio Legends Stage,hltv.org/news/34983/two-top-5-matchups-in-first-round-of-iem-rio-legends-stage
2022-11-04,fnatic clinch final Legends Stage spot over 9z,hltv.org/news/34985/fnatic-clinch-final-legends-stage-spot-over-9z
2022-11-03,"ZywOo on reaching Legends Stage: ""This is a new step, we start 0-0, so we have no pressure""",hltv.org/news/34980/zywoo-on-reaching-legends-stage-this-is-a-new-step-we-start-0-0-so-we-have-no-pressure
2022-11-03,Cloud9 advance to Legends Stage with victory over GamerLegion,hltv.org/news/34981/cloud9-advance-to-legends-stage-with-victory-over-gamerlegion
2022-11-03,Video: ZywOo's momentum-shifting Scout play vs. OG,hltv.org/news/34979/video-zywoos-momentum-shifting-scout-play-vs-og
2022-11-03,Vitality eliminate OG to secure Legends Stage berth,hltv.org/news/34978/vitality-eliminate-og-to-secure-legends-stage-berth
2022-11-03,"woxic benches himself from EF: ""I want to continue my career in an international team""",hltv.org/news/34977/woxic-benches-himself-from-ef-i-want-to-continue-my-career-in-an-international-team
2022-11-03,"Red Bull Flick Invitational Copenhagen duos announced: G2, Heroic, Spirit in attendance",hltv.org/news/34974/red-bull-flick-invitational-copenhagen-duos-announced-g2-heroic-spirit-in-attendance
2022-11-03,OG and Vitality to clash in final IEM Rio Challengers Stage matchups,hltv.org/news/34973/og-and-vitality-to-clash-in-final-iem-rio-challengers-stage-matchups
2022-11-03,FURIA secure Legends Stage spot at IEM Rio Major,hltv.org/news/34972/furia-secure-legends-stage-spot-at-iem-rio-major
2022-11-03,Cloud9 eliminate Evil Geniuses to continue recovery run in Rio,hltv.org/news/34971/cloud9-eliminate-evil-geniuses-to-continue-recovery-run-in-rio
2022-11-02,"zonic talks Vitality's shaky Rio form: ""We tried to put away some of the pressure, but it got to us a little bit""",hltv.org/news/34970/zonic-talks-vitalitys-shaky-rio-form-we-tried-to-put-away-some-of-the-pressure-but-it-got-to-us-a-little-bit
2022-11-02,"nexa on tech issues in Rio: ""The one that got in our heads was the round against FURIA""",hltv.org/news/34967/nexa-on-tech-issues-in-rio-the-one-that-got-in-our-heads-was-the-round-against-furia
2022-11-02,"Outsiders best fnatic, advance to Legends Stage of IEM Rio Major",hltv.org/news/34969/outsiders-best-fnatic-advance-to-legends-stage-of-iem-rio-major
2022-11-02,Vitality eliminate Grayhound to keep IEM Rio Major run alive,hltv.org/news/34968/vitality-eliminate-grayhound-to-keep-iem-rio-major-run-alive
2022-11-02,"syrsoN: ""I don't give a f*** what people are saying about me; I know what I'm capable of""",hltv.org/news/34966/syrson-i-dont-give-a-f-what-people-are-saying-about-me-i-know-what-im-capable-of
2022-11-02,OG pull off comeback on Ancient to knock IHC out of IEM Rio Major,hltv.org/news/34963/og-pull-off-comeback-on-ancient-to-knock-ihc-out-of-iem-rio-major
2022-11-02,BIG move past 9z to qualify for Legends Stage,hltv.org/news/34965/big-move-past-9z-to-qualify-for-legends-stage
2022-11-02,Bulgarian side 500 to participate at Elisa Masters Espoo,hltv.org/news/34964/bulgarian-side-500-to-participate-at-elisa-masters-espoo
2022-11-02,"FalleN: ""I'm planning to play one more year, but personally, I feel like I have to do other stuff in my life too""",hltv.org/news/34961/fallen-im-planning-to-play-one-more-year-but-personally-i-feel-like-i-have-to-do-other-stuff-in-my-life-too
2022-11-02,WePlay Academy League Season 6 reaches playoffs,hltv.org/news/34962/weplay-academy-league-season-6-reaches-playoffs
2022-11-02,Matchups set for day three of IEM Rio Major Challengers Stage,hltv.org/news/34960/matchups-set-for-day-three-of-iem-rio-major-challengers-stage
2022-11-02,sh1ro stars as Cloud9 overcome Imperial in IEM Rio Major elimination series,hltv.org/news/34959/sh1ro-stars-as-cloud9-overcome-imperial-in-iem-rio-major-elimination-series
2022-11-02,ESL introduces tentative measures against crowd influence at Major,hltv.org/news/34958/esl-introduces-tentative-measures-against-crowd-influence-at-major
2022-11-02,"rigoN: ""When the fans are booing us we get more energy""",hltv.org/news/34957/rigon-when-the-fans-are-booing-us-we-get-more-energy
2022-11-02,Bad News Eagles soar into Legends Stage of IEM Rio Major,hltv.org/news/34956/bad-news-eagles-soar-into-legends-stage-of-iem-rio-major
2022-11-01,00NATION become first team eliminated from IEM Rio Major,hltv.org/news/34955/00nation-become-first-team-eliminated-from-iem-rio-major
2022-11-01,"dexter: ""xertioN is a very mature player, he's not just waiting for my guidance""",hltv.org/news/34954/dexter-xertion-is-a-very-mature-player-hes-not-just-waiting-for-my-guidance
2022-11-01,The young guns shine to send MOUZ to Legends Stage,hltv.org/news/34953/the-young-guns-shine-to-send-mouz-to-legends-stage
2022-11-01,"dgt: ""I'm living the best days of my life right now, I never experienced anything like this""",hltv.org/news/34950/dgt-im-living-the-best-days-of-my-life-right-now-i-never-experienced-anything-like-this
2022-11-01,FURIA take down OG in overtime,hltv.org/news/34952/furia-take-down-og-in-overtime
2022-11-01,BIG defeat Grayhound after 16-round streak,hltv.org/news/34951/big-defeat-grayhound-after-16-round-streak
2022-11-01,Spirit conducts investigation into w0nderful match-fixing allegations,hltv.org/news/34949/spirit-conducts-investigation-into-w0nderful-match-fixing-allegations
2022-11-01,Outsiders send Vitality to elimination matches; 9z come back against Evil Geniuses,hltv.org/news/34948/outsiders-send-vitality-to-elimination-matches-9z-come-back-against-evil-geniuses
2022-11-01,peca replaces NiaK as G2's General Manager,hltv.org/news/34947/peca-replaces-niak-as-g2s-general-manager
2022-11-01,Overcome or overhaul: Cloud9's future-defining clash with Imperial,hltv.org/news/34944/overcome-or-overhaul-cloud9s-future-defining-clash-with-imperial
2022-11-01,"ALEX confirms fnatic exit, announces break from competition",hltv.org/news/34945/alex-confirms-fnatic-exit-announces-break-from-competition
2022-11-01,IEM Rio Major breaks Challengers Stage viewership records,hltv.org/news/34946/iem-rio-major-breaks-challengers-stage-viewership-records
2022-11-01,"ash: ""It doesn't feel like a fluke, it's not like we're just winning off vibes""",hltv.org/news/34942/ash-it-doesnt-feel-like-a-fluke-its-not-like-were-just-winning-off-vibes
2022-11-01,Cloud9-Imperial match headlines day two of IEM Rio Major Challengers Stage,hltv.org/news/34943/cloud9-imperial-match-headlines-day-two-of-iem-rio-major-challengers-stage
2022-11-01,Grayhound put Cloud9 on brink of elimination; fnatic claim second win in Rio,hltv.org/news/34941/grayhound-put-cloud9-on-brink-of-elimination-fnatic-claim-second-win-in-rio
2022-11-01,"xertioN: ""dexter has done a really amazing job at telling me 'be free'""",hltv.org/news/34939/xertion-dexter-has-done-a-really-amazing-job-at-telling-me-be-free
2022-11-01,9z condemn Imperial to elimination pool in Rio; GamerLegion upset Vitality to go 2-0,hltv.org/news/34940/9z-condemn-imperial-to-elimination-pool-in-rio-gamerlegion-upset-vitality-to-go-2-0
2022-11-01,MOUZ take down EG; BNE come back against BIG and relegate them to 1-1 pool,hltv.org/news/34938/mouz-take-down-eg-bne-come-back-against-big-and-relegate-them-to-1-1-pool
2022-11-01,"KSCERATO: ""I don't care who are our enemies, I just want to kill them and win the game""",hltv.org/news/34937/kscerato-i-dont-care-who-are-our-enemies-i-just-want-to-kill-them-and-win-the-game
2022-11-01,FURIA win Brazilian derby; Outsiders send IHC to 0-2 pool,hltv.org/news/34936/furia-win-brazilian-derby-outsiders-send-ihc-to-0-2-pool
